"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Приложение Niffler","Регистрация пользователя","Негативные сценарии","0","0","4","0","0"
"Приложение Niffler","Траты","Негативные сценарии","0","0","7","0","0"
"Приложение Niffler","API","Траты","0","4","6","0","0"
"Приложение Niffler","Kafka","","0","0","2","0","0"
"Приложение Niffler","gRPC Currencies","","0","0","11","0","0"
"Приложение Niffler","Траты","Работа через API","0","0","2","0","0"
"Приложение Niffler","Категории трат","Ограничения по категориям","0","0","5","0","0"
"Приложение Niffler","Авторизация пользователя","Негативные сценарии","0","0","3","0","0"
"Приложение Niffler","Поиск","Критерии поиска","0","0","10","0","0"
"Приложение Niffler","Траты","Позитивные сценарии","0","0","2","0","0"
"Приложение Niffler","API","Категории","0","3","5","0","0"
"Приложение Niffler","Категории трат","Работа через API","0","0","2","0","0"
"Приложение Niffler","SOAP","","0","0","8","0","0"
"Приложение Niffler","Авторизация пользователя","Позитивные сценарии","0","0","1","0","0"
"Приложение Niffler","Регистрация пользователя","Позитивные сценарии","0","0","1","0","0"
"Приложение Niffler","Категории трат","Позитивные сценарии","0","0","1","0","0"
